Country,TotalCount_1,TotalCount_2,TotalCount_3,TotalCount_4,TotalCount_5,TotalCount_6,TotalCount_7,TotalCount_8
VIE,-2,2,2,1,1,2,1,1
VIN,-0,-0,-0,0,0,0,0,1
VNM,-0,-0,-0,-0,0,0,0,0
WIF,-0,-0,-0,-0,0,0,0,0
YAR,-0,-0,-0,-0,0,0,0,0
YEM,0,0,0,0,0,0,1,1
YMD,-0,-0,-0,-0,0,0,0,0
YUG,-0,-0,-0,-0,0,0,0,0
ZAM,0,0,0,-0,-0,0,0,1
ZIM,1,0,0,-0,0,1,1,1
